id	north	south	east	west	high	low	name	scientific_name
5786	39.595	39.5887	-9.0515	-9.0542	NULL	NULL	Monte de S. Bartolomeu, Nazaré, Portugal	Portugal, Nazaré, Monte de S. Bartolomeu
5787	42.6876	42.6607	-80.5082	-80.5404	NULL	NULL	Walsingham, Ontario, Canada	Canada, Ontario, Walsingham
5788	42.0512	42.0034	-87.9842	-88.0308	NULL	NULL	Busse Woods, Elk Grove Village, Illinois, USA	USA, Illinois, Elk Grove Village, Busse Woods
5789	40.5096	40.5026	-75.2468	-75.2586	NULL	NULL	Kintnersville, Pennsylvania, USA	USA, Pennsylvania, Kintnersville
5790	47.6238	47.6013	-122.292	-122.316	NULL	NULL	Central District, Seattle, Washington, USA	USA, Washington, Seattle, Central District
5791	66.0991	66.0986	14.8536	14.8518	NULL	NULL	Mjölkbäcken, path to Lill-Uman, Västerbotten, Sweden	Sweden, Västerbotten, path to Lill-Uman, Mjölkbäcken
5792	18.7331	18.712	-103.7	-103.732	NULL	NULL	El naranjal,Colima, Mexico	Mexico, Colima, El naranjal
5793	41.2984	41.2859	-76.1207	-76.1318	NULL	NULL	Sweet Valley, Pennsylvania, USA	USA, Pennsylvania, Sweet Valley
5794	39.5449	39.5339	-81.826	-81.8393	NULL	NULL	Stockport, Ohio, USA	USA, Ohio, Stockport
5795	46.6031	46.5994	-120.473	-120.478	NULL	NULL	Sarg Hubbard Park, Yakima, Yakima Co., Washington, USA	USA, Washington, Yakima Co., Yakima, Sarg Hubbard Park
5796	50.0571	50.0455	-122.945	-122.966	NULL	NULL	Valley east of the Top-to-Top gondola terminal, Whistler Mountain, Whistler, British Columbia, Canada	Canada, British Columbia, Whistler, Whistler Mountain, Valley east of the Top-to-Top gondola terminal
5797	50.064	50.0415	-122.935	-122.98	NULL	NULL	Valley east of the Peak-2-Peak gondola terminal, Whistler Mountain, Whistler, British Columbia, Canada	Canada, British Columbia, Whistler, Whistler Mountain, Valley east of the Peak-2-Peak gondola terminal
5798	45.2916	45.2287	-111.067	-111.195	NULL	NULL	Windy Pass, Gallatin Co., Montana, USA	USA, Montana, Gallatin Co., Windy Pass
5799	45.2755	45.2112	-86.9711	-87.0189	NULL	NULL	Newport State Park, Door Co., Wisconsin, USA	USA, Wisconsin, Door Co., Newport State Park
5800	45.0011	44.0199	-106.841	-108.006	NULL	NULL	Bighorn National Forest, Wyoming, USA	USA, Wyoming, Bighorn National Forest
5801	60.5437	60.2204	5.56955	5.05238	NULL	NULL	Residential area, Bergen, Norway	Norway, Bergen, Residential area
5802	42.4363	42.3975	-71.1323	-71.2027	NULL	NULL	Arlington, Massachusetts, USA	USA, Massachusetts, Arlington
5803	47.9484	47.7909	-117.917	-118.335	NULL	NULL	Spokane River, Washington, USA	USA, Washington, Spokane River
5804	37.1385	37.1319	-80.5633	-80.5686	NULL	NULL	Wildwood Park, Radford City, Virginia, USA	USA, Virginia, Radford City, Wildwood Park
5805	42.3602	41.8509	24.2553	23.0161	2925	NULL	Rila Mountain, Bulgaria	Bulgaria, Rila Mountain
5806	16.047	16.031	-96.5806	-96.6	NULL	NULL	Copalita, Oaxaca, Mexico	Mexico, Oaxaca, Copalita
5807	47.6739	47.6728	26.2759	26.2743	NULL	NULL	Rarau, Suceava, Romania	Romania, Suceava, Rarau
5808	33.5272	33.4445	-84.5168	-84.62	NULL	NULL	Tyrone, Fayette Co., Georgia, USA	USA, Georgia, Fayette Co., Tyrone
5809	18.1189	18.1143	-96.8216	-96.8292	NULL	NULL	Cerro de Adoracion, Huautla de Jimenez, Oaxaca, Mexico	Mexico, Oaxaca, Huautla de Jimenez, Cerro de Adoracion
5810	48.1711	48.1702	16.2967	16.2874	NULL	NULL	Hetzendorfer Straße, Hietzing, Vienna, Austria	Austria, Vienna, Hietzing, Hetzendorfer Straße
5811	48.1291	48.1142	15.8049	15.7729	NULL	NULL	Wegerer, Stössing, Bezirk Sankt Pölten Land, Lower Austria, Austria	Austria, Lower Austria, Bezirk Sankt Pölten Land, Stössing, Wegerer
5812	47.466	47.386	16.328	16.2197	NULL	NULL	Wenzlangersattel, Bernstein, Bezirk Oberwart, Burgenland, Austria	Austria, Burgenland, Bezirk Oberwart, Bernstein, Wenzlangersattel
5813	50.0671	50.057	-122.931	-122.947	NULL	NULL	Harmony Lake trail, Whistler Mountain, Whistler, British Columbia, Canada	Canada, British Columbia, Whistler, Whistler Mountain, Harmony Lake trail
5814	40.4081	40.3507	-124.354	-124.394	NULL	NULL	Mattole Rd., Petrolia, California, USA	USA, California, Petrolia, Mattole Rd.
5815	43.8518	41.8518	24.7634	22.7634	NULL	NULL	Stara planina mountain, State hunting enterprise Vitinya, Bulgaria	Bulgaria, State hunting enterprise Vitinya, Stara planina mountain
5816	55.877	55.8148	37.8256	37.6714	NULL	NULL	Losiny Ostrov National Park, Moscow, Russia	Russia, Moscow, Losiny Ostrov National Park
5817	42.6832	42.6648	23.3697	23.3136	NULL	NULL	Borisova garden, Sofia, Bulgaria	Bulgaria, Sofia, Borisova garden
5818	43.5837	41.5837	24.3318	22.3318	NULL	NULL	Bistrishko branishte reserve, Vitosha mountain, Bulgaria	Bulgaria, Vitosha mountain, Bistrishko branishte reserve
5819	60.5581	60.2348	5.59133	5.07416	NULL	NULL	Bergen, Norway	Norway, Bergen
5820	42.3933	40.3933	24.5931	22.5931	NULL	NULL	Bulgaria, Slavianka Mountain, Bulgaria	Bulgaria, Slavianka Mountain, Bulgaria
5821	42.49	42.4062	-71.1778	-71.2724	NULL	NULL	Lexington, Massachusetts, USA	USA, Massachusetts, Lexington
5822	44.1885	42.1885	24.1568	22.1568	NULL	NULL	Barzia, Stara planina mountain, Bulgaria	Bulgaria, Stara planina mountain, Barzia
5823	44.6382	44.6337	-87.7938	-87.8067	NULL	NULL	Bayshore County Park, Door C-ty, Wisconsin, USA	USA, Wisconsin, Door C-ty, Bayshore County Park
5824	43.5868	41.5868	24.3381	22.3381	NULL	NULL	Bistrica 43d, Vitosha mountain, Bulgaria	Bulgaria, Vitosha mountain, Bistrica 43d
5825	47.7105	47.7095	-122.318	-122.319	NULL	NULL	Party @ Display and Costume, Seattle, Washington, USA	USA, Washington, Seattle, Party @ Display and Costume
5826	43.5015	41.5015	24.3226	22.3226	NULL	NULL	Zheleznica, Vitosha mountain, Bulgaria	Bulgaria, Vitosha mountain, Zheleznica
5827	44.0197	42.0197	24.1413	22.1413	NULL	NULL	West Stara planina mountain, Bulgaria	Bulgaria, West Stara planina mountain
5828	43.6147	41.6147	24.2296	22.2296	NULL	NULL	Zlatni mostove, Vitosha mountain, Bulgaria	Bulgaria, Vitosha mountain, Zlatni mostove
5829	43.7547	43.465	22.8439	22.5073	NULL	NULL	West Stara planina mountain, Belogradchik, Bulgaria	Bulgaria, Belogradchik, West Stara planina mountain
5830	44.0704	42.0704	24.1173	22.1173	NULL	NULL	West Stara planina mountain, Ginci, Bulgaria	Bulgaria, Ginci, West Stara planina mountain
5831	43.6369	41.6369	24.2224	22.2224	NULL	NULL	Tihia kat, Vitosha mountain, Bulgaria	Bulgaria, Vitosha mountain, Tihia kat
5832	43.0761	41.0761	24.8151	22.8151	NULL	NULL	Yundola, Rila mountain, Bulgaria	Bulgaria, Rila mountain, Yundola
